first_market,second_market,hedge_ratio,half_life
ETH/BTC,BNB/BTC,1.9903378341113793,2.4522708659241323
ETH/BTC,MTL/BTC,1075.3956268472539,6.321435392524482
ETH/BTC,REQ/BTC,20668.265290563984,3.559616107138544
ETH/BTC,DATA/BTC,25352.38651853049,4.885576371640962
ETH/BTC,ARDR/BTC,11428.664116805157,5.001972093166968
ETH/BTC,TFUEL/BTC,14670.811048856704,6.481381485207134
ETH/BTC,GLM/BTC,3556.897185845344,3.7631459622368526
ETH/BTC,SFP/BTC,4375.083180658439,4.656518740304137
ETH/BTC,WAXP/BTC,28129.094531850773,3.7161024041344253
ETH/BTC,QI/BTC,82716.8312287596,9.31818531258382
ETH/BTC,SCR/BTC,2494.2208789542747,1.9231293224311201
BNB/BTC,TRX/BTC,1935.5896362286367,1.6093624594476204
BNB/BTC,XRP/BTC,-83.80909335267216,1.7417261993399644
BNB/BTC,GAS/BTC,61.989843412139294,1.4771867916282444
BNB/BTC,KNC/BTC,593.4119838149782,1.4845178622724426
BNB/BTC,LINK/BTC,-17.461146578379072,1.5653051657857437
BNB/BTC,MTL/BTC,269.2820286910528,1.5596710724981158
BNB/BTC,SNT/BTC,8635.980081450383,1.6042827757570277
BNB/BTC,REQ/BTC,5292.7855842720965,1.2187488713706556
BNB/BTC,VIB/BTC,3714.889063095299,1.47792781088195
BNB/BTC,POWR/BTC,1287.721187749581,1.3743626731756733
BNB/BTC,ENJ/BTC,1491.0775875495056,1.5822741572387784
BNB/BTC,STORJ/BTC,633.7804069321701,1.4535018752527373
BNB/BTC,BAT/BTC,2048.849289427744,1.5754257996643775
BNB/BTC,LSK/BTC,310.53412260177356,1.4497306227443056
BNB/BTC,ADX/BTC,1869.6571575932612,1.4240988080225248
BNB/BTC,ICX/BTC,1802.9872286681857,1.5389677686678076
BNB/BTC,ELF/BTC,655.2903537930033,1.3829808619653918
BNB/BTC,STEEM/BTC,900.0355528874343,1.4185986807632285
BNB/BTC,ZIL/BTC,16919.71312009712,1.6242275413289233
BNB/BTC,SYS/BTC,3173.9148329330856,1.6698701261661968
BNB/BTC,IOTX/BTC,11076.108461077703,1.436278554745559
BNB/BTC,DATA/BTC,6476.811210697357,1.2967982857845874
BNB/BTC,ARDR/BTC,2856.940275679164,1.442565759658569
BNB/BTC,RVN/BTC,4699.2390049967435,1.921569419866686
BNB/BTC,ONG/BTC,884.4372647979044,1.3151132015177736
BNB/BTC,FET/BTC,340.54675628674295,1.3659547971344348
BNB/BTC,ATOM/BTC,75.91512979979893,1.3835562766681313
BNB/BTC,PHB/BTC,256.3152264039213,1.371712141530451
BNB/BTC,TFUEL/BTC,3832.1595198130417,1.5620068652940806
BNB/BTC,DUSK/BTC,1709.791651522848,1.3503795847517233
BNB/BTC,ANKR/BTC,9803.333257967388,1.2964854532398709
BNB/BTC,CHZ/BTC,5557.689178294793,1.408712553239846
BNB/BTC,BAND/BTC,300.8886135789753,1.541403287455529
BNB/BTC,XTZ/BTC,391.37847569315,1.529633853585912
BNB/BTC,NKN/BTC,5347.960166375873,1.5300277447495738
BNB/BTC,STX/BTC,318.9214995315174,1.487696114488082
BNB/BTC,KAVA/BTC,890.5075589888747,1.4143329512932603
BNB/BTC,ARPA/BTC,10897.840866086655,1.5012603386834837
BNB/BTC,CTXC/BTC,1154.714274906315,1.2665612779154576
BNB/BTC,BCH/BTC,1.4956252538282158,1.6371502073380402
BNB/BTC,VITE/BTC,21882.951991369686,1.328674272143445
BNB/BTC,OGN/BTC,4838.275833555323,1.448797280607353
BNB/BTC,LTO/BTC,2268.255659962,1.3574056860964696
BNB/BTC,SOL/BTC,-1.5776185224514307,1.2752932585201169
BNB/BTC,CTSI/BTC,3348.2014109668708,1.4823056549065494
BNB/BTC,HIVE/BTC,486.15664855266596,1.3244305593855894
BNB/BTC,CHR/BTC,1685.2298499429526,1.3596318219893468
BNB/BTC,MDT/BTC,6726.530454631706,1.2780782503388621
BNB/BTC,SXP/BTC,1154.145672039962,1.3210889720806842
BNB/BTC,SNX/BTC,228.34329723008022,1.432334579365326
BNB/BTC,MKR/BTC,0.2735508560554698,1.272052199323509
BNB/BTC,FIO/BTC,10660.190365663337,1.4404905244103374
BNB/BTC,AVA/BTC,268.6329788335697,1.2818736522435417
BNB/BTC,YFI/BTC,0.07357356200184484,1.3458409059481506
BNB/BTC,AUDIO/BTC,3253.635774916147,1.526821679356855
BNB/BTC,AXS/BTC,89.98111797722015,1.3496250353479933
BNB/BTC,STRAX/BTC,3661.080601616304,1.3137452181983225
BNB/BTC,ROSE/BTC,4582.077907905317,1.5760364929971684
BNB/BTC,GLM/BTC,889.4668243238202,1.2897135228650707
BNB/BTC,1INCH/BTC,1066.9897440603509,1.282385608471661
BNB/BTC,OG/BTC,78.39553965657115,1.3279115569061644
BNB/BTC,CELO/BTC,741.2501790996203,1.397629825407139
BNB/BTC,RIF/BTC,4589.235717766125,1.375356428968374
BNB/BTC,TRU/BTC,5104.150336991508,1.4894313732919053
BNB/BTC,TWT/BTC,956.4203645200978,1.5665155941891333
BNB/BTC,SFP/BTC,1129.2488949011204,1.2926637217980748
BNB/BTC,DODO/BTC,2526.539515447901,1.4597101810208255
BNB/BTC,CAKE/BTC,206.20012629344228,1.4228489900212817
BNB/BTC,AUCTION/BTC,23.67650028568579,1.3001669402863312
BNB/BTC,BADGER/BTC,174.35215721006807,1.5961386214854456
BNB/BTC,FIS/BTC,675.847935472927,1.3305838613810148
BNB/BTC,OM/BTC,116.89810155086786,1.3795220073731043
BNB/BTC,POND/BTC,10568.261616953678,1.4409457086225899
BNB/BTC,ALICE/BTC,433.3858861620711,1.5976181756462111
BNB/BTC,PERP/BTC,659.6831466621243,1.630138076649417
BNB/BTC,SUPER/BTC,285.0768325228778,1.4873607076826958
BNB/BTC,TKO/BTC,637.688005422564,1.6143156862590364
BNB/BTC,FORTH/BTC,80.3125258360368,1.2665908303742237
BNB/BTC,ICP/BTC,42.61538811877887,1.5408535628347255
BNB/BTC,LPT/BTC,26.286778515492188,1.5516054691132795
BNB/BTC,ATA/BTC,1676.8679011426539,1.292658785634903
BNB/BTC,GTC/BTC,802.0024521829519,1.5537541396726784
BNB/BTC,BAKE/BTC,1565.8666920508058,1.56495489688326
BNB/BTC,MLN/BTC,22.025360695263572,1.2975473302614042
BNB/BTC,C98/BTC,4000.802666698022,1.6580883506646749
BNB/BTC,FLOW/BTC,714.0570684311169,1.473030216099923
BNB/BTC,MINA/BTC,709.045765243809,1.4049432332616025
